company_code,company_name,board,field_name,proxy_plausible,strict_label,reason,evidence_sentence,page,source_url,audit_mode
000002,万科A,szse_main,main_business_segments,True,usable,substantive in-region snippet (len=187),"主营业务 33,416,070.97 -27.23% 30,108,213.76 -22.51% 9.90% 下降5.48 个百分点 4.41% 下降6.93 个百分点 其中：房地产开发 及相关资产经营业 务 注4 30,102,839.77 -29.95% 27,232,593.76 -25.09% 9.53% 下降5.88 个百分点 3.49% 下降7.63 个百分点",16,http://static.cninfo.com.cn/finalpage/2025-04-01/1222974139.PDF,automated
000002,万科A,szse_main,revenue_by_segment,False,partial,status=partial,分 行业标准，建立自身的食品质量安全管理体系；通过坚持执行高于行业要求的服务标准，打 造运营服务专业影响力。报告期内，万纬多个园区获得BRCGS S&D(仓储和配送全球标准， 全球食品安全倡议组织GFSI 对标认可的食品安全认证方案)认证，其中上海海港、上海临 港、廊坊经开、宁波北仑、上海新桥5 个园区获得AA 级认证，厦门海投获得A 级认证。此 外，在多家客户的食品安全年度审核中获得第一名。万…,26,http://static.cninfo.com.cn/finalpage/2025-04-01/1222974139.PDF,automated
000002,万科A,szse_main,revenue_by_region,True,usable,6 data rows with numerics,"分地区 2024 年 2023 年 同比增减 金额 占营业收入比重 金额 占营业收入比重 南方区域 6,763,106.71 22.97% 10,320,320.90 24.41% -34.47% 上海区域 8,250,528.76 28.02% 14,278,772.61 33.77% -42.22% 北京区域 5,266,105.51 17.89% 6,304,570.02 14.91% -…",19,http://static.cninfo.com.cn/finalpage/2025-04-01/1222974139.PDF,automated
000002,万科A,szse_main,top_customers,True,usable,top-N keyword in evidence with ratio/amount,主要客户 本集团目前主要产品为商品住宅，个人购房者为主力客户群，客户多而且分散，仅部分 政府代建项目，或少数团购现象产生较高营业额。报告期内，前5 名客户产生的营业收入约 为人民币33.9 亿元，占本集团全年营业收入的比例为1.0%，占本集团全年营业收入的比例 少于30%；其中最大客户的营业额约为人民币9.2 亿元，占本集团全年营业收入的比例为 0.3%。前5 名客户不存在向关联方销售的情况。,68,http://static.cninfo.com.cn/finalpage/2025-04-01/1222974139.PDF,automated
000002,万科A,szse_main,top_suppliers,True,usable,top-N keyword in value sentence,主要供应商、客户情况,68,http://static.cninfo.com.cn/finalpage/2025-04-01/1222974139.PDF,automated
000002,万科A,szse_main,rnd_investment,False,not_found_unverified,status=not_found (unverified by automation),研发投入总额占营业收入的比重较上年发生显著变化的原因,34,http://static.cninfo.com.cn/finalpage/2025-04-01/1222974139.PDF,automated
000002,万科A,szse_main,mda,True,usable,substantive in-region snippet (len=317),经营情况讨论与分析 2024 年，全国商品房销售面积同比下降12.9%，随着一系列行业支持性政策出台，市场 信心逐步修复，四季度全国新建商品房销售面积同比增长0.5%，扭转了之前连续下滑的态 势。 报告期内，本集团制定并推动实施业务重整和风险化解的“一揽子方案”，坚定瘦身健 体、聚焦主业、全力自救，取得一定进展。在经营端，全年高品质交付超过18 万套房子； 实现销售金额2460.2 亿元，销售面…,13,http://static.cninfo.com.cn/finalpage/2025-04-01/1222974139.PDF,automated
000006,深振业A,szse_main,main_business_segments,True,usable,substantive in-region snippet (len=316),报告期内公司从事的主要业务 （一）公司业务概述 公司以房地产开发经营为主营业务，在深圳、广州等多地分别设立地区公司开展房地产开发业务，产 品类别涉及普通居民住宅、商用物业等多种类型，累计开发面积逾千万平方米。同时，近年来公司在代建 业务、企业公寓、商业运营、城市服务、城中村改造等领域持续发力、积极布局，以实现公司的稳定发展。 （二）公司经营与管理情况回顾 2024 年，国内房地产市场加速转型，政…,9,http://static.cninfo.com.cn/finalpage/2025-04-26/1223309112.PDF,automated
000006,深振业A,szse_main,revenue_by_segment,True,usable,5 data rows with numerics,"分行业 房地产 6,064,948,157.84 5,579,182,361.34 8.01% 115.79% 226.01% -31.10% 分产品 房产销售 5,901,200,052.40 5,477,272,497.31 7.18% 122.80% 234.78% -31.05% 房产租赁 134,989,508.40 83,670,941.89 38.02% 5.68% 22.94%…",15,http://static.cninfo.com.cn/finalpage/2025-04-26/1223309112.PDF,automated
000006,深振业A,szse_main,revenue_by_region,True,usable,6 data rows with numerics,"分地区 广东省 768,978,952.00 413,714,224.31 46.20% -11.94% -14.66% 1.71% 广西壮族自 治区 22,139,407.34 14,789,414.30 33.20% 118.89% 66.65% 20.94% 陕西省 206,837,091.11 187,901,253.43 9.15% 6.95% 3.02% 3.46% 天津市 451,…",15,http://static.cninfo.com.cn/finalpage/2025-04-26/1223309112.PDF,automated
000006,深振业A,szse_main,top_customers,True,usable,top-N keyword in evidence with ratio/amount,前五名客户合计销售金额（元）,16,http://static.cninfo.com.cn/finalpage/2025-04-26/1223309112.PDF,automated
000006,深振业A,szse_main,top_suppliers,True,usable,top-N keyword in evidence with ratio/amount,前五名供应商合计采购金额（元）,17,http://static.cninfo.com.cn/finalpage/2025-04-26/1223309112.PDF,automated
